run,segment_idx,t_start_s,t_end_s,n_samples,mean_step_deg,median_step_deg,max_step_deg,alpha_lmin_0.5,n_tail_0.5,alpha_lmin_1.0,n_tail_1.0,alpha_lmin_2.0,n_tail_2.0,beta_msd
Ravi-levy-flight-eyeTr-2025-12-02-13-22-45,0,0.0,10.0,2000,0.11730210187558343,0.021691011963483955,3.14752692283958,2.0606935338582915,109,3.0715584396295292,78,7.080860287254715,21,1.4637903820227687
Ravi-levy-flight-eyeTr-2025-12-02-13-22-45,1,10.0,20.0,1980,0.1636867582886076,0.023817010727629435,3.4409323678328843,1.9653577127615787,155,2.7460023984857695,118,7.677189207364279,46,1.5078154366762044
Ravi-levy-flight-eyeTr-2025-12-02-13-22-45,2,20.0,30.0,1982,0.1538554691529504,0.03623106401970553,13.496283851860852,2.038107806942553,125,2.57180792827707,78,5.268867274799903,31,1.3268705534426097
Ravi-levy-flight-eyeTr-2025-12-02-13-22-45,3,30.0,40.0,1983,0.3034595511019544,0.05668719208580496,58.63224704247654,2.12232823486257,259,2.637491692463889,153,4.652036444097316,62,1.2922014062532283
Ravi-levy-flight-eyeTr-2025-12-02-13-22-45,4,40.0,50.0,1993,0.18105797511457947,0.036314459377580835,6.954966054554114,2.0796361450594674,158,2.6547303129617053,102,3.491306552562418,34,1.3663423076078658
Ravi-levy-flight-eyeTr-2025-12-02-13-22-45,5,50.0,60.0,1969,0.2968186431429871,0.03473218966368615,72.43256020381993,1.9028195945744404,163,2.2906916110771123,111,2.5994317251308017,46,0.9547310217901507
Ravi-levy-flight-eyeTr-2025-12-02-13-22-45,6,60.0,60.629,105,0.2783905583560075,0.06281329102752528,2.7048761450388077,2.5204945390118563,19,,5,,4,1.6340376114733532
Seth-levy-flight-eyeTr-2025-12-02-13-29-08,0,0.0,10.0,1865,0.27170520354976246,0.04350416087437536,49.25410231199022,2.0000511591842924,182,2.1893181197107285,103,2.815684543904225,55,1.1861810693999588
Seth-levy-flight-eyeTr-2025-12-02-13-29-08,1,10.0,20.0,1856,0.31893303651122623,0.08200109755362976,17.139029047177676,1.946035603234412,212,2.1424595878873296,126,2.883879964296357,74,1.284418096663483
Seth-levy-flight-eyeTr-2025-12-02-13-29-08,2,20.0,30.0,1989,0.26302560145739684,0.02681865013371727,34.8607641019241,1.8842355926534666,177,2.1188019247194516,113,2.7774021257558057,69,1.1908763210775122
Seth-levy-flight-eyeTr-2025-12-02-13-29-08,3,30.0,40.0,1919,0.5050058435474626,0.0770089999039654,18.54478032547164,1.9201632320212898,420,2.1473798648199187,260,3.0582680734524677,160,1.4461485642825225
Seth-levy-flight-eyeTr-2025-12-02-13-29-08,4,40.0,50.0,1997,0.3551314030215328,0.03670929151341231,16.479468350951134,1.9009963227560234,297,2.1672630827275814,190,3.1686223187020817,117,1.4135483438411791
Seth-levy-flight-eyeTr-2025-12-02-13-29-08,5,50.0,60.0,1976,0.39459163792990876,0.05416022525802619,8.228935584266047,2.0211727446821612,391,2.306088714519273,222,3.517460530640544,124,1.5094708628609133
Seth-levy-flight-eyeTr-2025-12-02-13-29-08,6,60.0,60.64,129,0.16735190430490743,0.025475497566971646,2.50538276516783,2.2317464439137815,12,,8,,2,1.609567294673078
SETH2-levy-flight-eyeTr-2025-12-02-13-35-06,0,0.0,10.0,1983,0.20350745514678334,0.04777706148203276,33.76765767713242,2.1784242880432285,147,2.4067842987983803,71,2.725388699446281,30,1.084553465780423
SETH2-levy-flight-eyeTr-2025-12-02-13-35-06,1,10.0,20.0,1999,0.40388792862576706,0.06893398344907437,8.94076203743283,1.957606254528152,363,2.265981792657585,224,3.4401246405211494,128,1.5151421458704388
SETH2-levy-flight-eyeTr-2025-12-02-13-35-06,2,20.0,30.0,1976,0.2758625317107618,0.04883298065856575,7.743881602917237,1.9724313241417242,246,2.368675827609545,157,3.8448025941454747,86,1.4384734300432425
SETH2-levy-flight-eyeTr-2025-12-02-13-35-06,3,30.0,40.0,1999,0.30945570261729577,0.0703943700415946,4.9338094045068255,2.1125636193461013,301,2.358254204388203,159,4.002831076314025,86,1.443420943851819
SETH2-levy-flight-eyeTr-2025-12-02-13-35-06,4,40.0,50.0,1999,0.20429002872790844,0.03355962869944484,10.540126948950853,2.013001214965124,162,2.1389937056638715,88,3.1070755043694867,57,1.3377106022959646
SETH2-levy-flight-eyeTr-2025-12-02-13-35-06,5,50.0,60.0,1996,0.3001585812328121,0.04590697114818145,12.035276685228304,2.136734898925954,330,3.0995783973190023,218,3.7546911696776615,65,1.4838873496806435
SETH2-levy-flight-eyeTr-2025-12-02-13-35-06,6,60.0,60.629,126,0.2617089327846684,0.04783387920710585,3.17438927984581,1.9284269075310476,16,2.653643747488296,12,,6,1.9997143362672511
Iago2-levy-flight-eyeTr-2025-12-02-13-42-21,0,0.0,10.0,1962,0.1985636106884427,0.029149614062625225,39.24426104043749,1.8162914546521831,99,2.113788391240024,70,2.565875478105708,37,0.7761750793194221
Iago2-levy-flight-eyeTr-2025-12-02-13-42-21,1,10.0,20.0,1999,0.2621754805418286,0.03694387604951151,4.708050333205879,2.022018099602418,267,2.738676099339621,183,5.353948565395583,65,1.4151941751354975
Iago2-levy-flight-eyeTr-2025-12-02-13-42-21,2,20.0,30.0,1954,0.31640997061469645,0.04034501208328117,34.589688824995235,1.9101703116682471,194,2.1584247207860217,121,2.5071077961200006,60,0.7081028879531532
Iago2-levy-flight-eyeTr-2025-12-02-13-42-21,3,30.0,40.0,1979,0.26192323491529573,0.05787741294368245,4.924180865890285,2.0150899063222543,230,2.5996841518232556,151,4.897359127037722,70,1.382135857498189
Iago2-levy-flight-eyeTr-2025-12-02-13-42-21,4,40.0,50.0,1952,0.14116724303518538,0.023976029696344724,16.412147102070467,1.7798342335076627,76,2.116785388246443,58,3.190143735958054,37,1.0965580427729933
Iago2-levy-flight-eyeTr-2025-12-02-13-42-21,5,50.0,60.0,2000,0.19926983203218207,0.04704550988138921,4.34131291316348,2.1719884243094114,175,2.424997669784653,89,4.385273130742952,42,1.3770377787599026
Iago2-levy-flight-eyeTr-2025-12-02-13-42-21,6,60.0,60.604,121,0.15829725998821403,0.06681101264628408,0.6085424060819432,12.454968453289615,15,,0,,0,0.2845183545276822
Ravi2-levy-flight-eyeTr-2025-12-02-13-46-15,0,0.0,10.0,1959,0.17942916057681413,0.025662615308423283,38.43738682402851,1.9273478288486163,111,2.4118193025850934,77,2.4373173111678907,26,0.8522965186121564
Ravi2-levy-flight-eyeTr-2025-12-02-13-46-15,1,10.0,20.0,1980,0.19182885190577315,0.028017851452244065,5.039885405443262,1.8789132016194596,170,2.6711987639028743,143,5.224498180321467,55,1.3760047734591145
Ravi2-levy-flight-eyeTr-2025-12-02-13-46-15,2,20.0,30.0,1986,0.22155445810875998,0.04029590549919331,4.133438356864657,1.9420750863781722,202,2.5555490876475133,148,5.4942405689625655,64,1.4395484343070868
Ravi2-levy-flight-eyeTr-2025-12-02-13-46-15,3,30.0,40.0,1978,0.12201946740486352,0.02573033229478356,7.276394866278217,1.9497918118632394,88,2.7209728223730174,67,4.438128125858536,26,1.352397353072045
Ravi2-levy-flight-eyeTr-2025-12-02-13-46-15,4,40.0,50.0,1988,0.2201829534646189,0.029231831964487778,14.773950510950009,1.9184035763240996,182,2.502720123399986,137,4.6080488960058394,65,1.4494575079645542
Ravi2-levy-flight-eyeTr-2025-12-02-13-46-15,5,50.0,60.0,1999,0.30322834250422603,0.05511991473051538,3.8654877273120407,2.0284321956392533,304,2.700449568740657,203,5.895107121817958,74,1.539505197204446
Ravi2-levy-flight-eyeTr-2025-12-02-13-46-15,6,60.0,60.7,141,0.3628204396575411,0.0794748738754224,2.935995533034748,2.452652183529583,37,2.865935927675366,13,,5,1.6881601587246722
